model,protocol,method,budget_pct,seed,accuracy,macro_f1,auprc,n_conflict_supervision,n_aligned_supervision,n_train,n_val,n_test,test_sample_ids_sha256,label_artifact_sha256,encoder_checkpoint_sha256,status
qwen2_5_omni_7b,VA,Single-Point,10,20260717,0.8538461538461538,0.786535303776683,0.6758282039008017,57,722,569,142,130,aecb5ba21f95a3ab8b52aca3114d1adf9f49136c6b531728a9f1c2b099f3e9fc,bc62b1256c58477710a5b7d5c891fa6cb63e4432339cfb915cc6e3ff5bf8ef19,f24d3aeeaa3d5f3baa8833ed6855afc380be695dbde355f8b51b8f605a10a0cb,Ready
qwen2_5_omni_7b,VA,Trajectory MLP,10,20260717,0.7615384615384615,0.6601737077325238,0.4027595056422061,57,722,569,142,130,aecb5ba21f95a3ab8b52aca3114d1adf9f49136c6b531728a9f1c2b099f3e9fc,bc62b1256c58477710a5b7d5c891fa6cb63e4432339cfb915cc6e3ff5bf8ef19,30d18bb5716b5cda8f927c1fc2157462aeeb0eb07b619b49967dd9e40d56f523,Ready
qwen2_5_omni_7b,VA,TME,10,20260717,0.8153846153846154,0.6592398427260813,0.5068492300850036,57,722,569,142,130,aecb5ba21f95a3ab8b52aca3114d1adf9f49136c6b531728a9f1c2b099f3e9fc,bc62b1256c58477710a5b7d5c891fa6cb63e4432339cfb915cc6e3ff5bf8ef19,9975ed627de51fe0add075b0821c969490934261090e7c04bb9f6286342215b4,Ready
qwen2_5_omni_7b,VA,Single-Point,25,20260717,0.8538461538461538,0.786535303776683,0.6758282039008017,143,722,569,142,130,aecb5ba21f95a3ab8b52aca3114d1adf9f49136c6b531728a9f1c2b099f3e9fc,bc62b1256c58477710a5b7d5c891fa6cb63e4432339cfb915cc6e3ff5bf8ef19,f2c99550b3e48121d582ef7fd8df5148341b11908c798fec08835b4d12dfcd75,Ready
qwen2_5_omni_7b,VA,Trajectory MLP,25,20260717,0.7230769230769231,0.6599825632083696,0.36748719592280044,143,722,569,142,130,aecb5ba21f95a3ab8b52aca3114d1adf9f49136c6b531728a9f1c2b099f3e9fc,bc62b1256c58477710a5b7d5c891fa6cb63e4432339cfb915cc6e3ff5bf8ef19,8e9a4e879c66497d39ac4e6fc915b35bbf93a293302a58618159e3ea25e0c565,Ready
qwen2_5_omni_7b,VA,TME,25,20260717,0.8153846153846154,0.4491525423728814,0.1723261558609721,143,722,569,142,130,aecb5ba21f95a3ab8b52aca3114d1adf9f49136c6b531728a9f1c2b099f3e9fc,bc62b1256c58477710a5b7d5c891fa6cb63e4432339cfb915cc6e3ff5bf8ef19,3fe7806e7f206dc4ec088d48d0660561181dc62a2101f52d3badf102408c62ec,Ready
qwen2_5_omni_7b,VA,Single-Point,50,20260717,0.8538461538461538,0.786535303776683,0.6758282039008017,285,722,569,142,130,aecb5ba21f95a3ab8b52aca3114d1adf9f49136c6b531728a9f1c2b099f3e9fc,bc62b1256c58477710a5b7d5c891fa6cb63e4432339cfb915cc6e3ff5bf8ef19,eb28a0307a82db4b2aeed6d8b0ad2c80d80db9587cc93660b7040676b21eb37c,Ready
qwen2_5_omni_7b,VA,Trajectory MLP,50,20260717,0.7307692307692307,0.6817959297852996,0.4479911093248225,285,722,569,142,130,aecb5ba21f95a3ab8b52aca3114d1adf9f49136c6b531728a9f1c2b099f3e9fc,bc62b1256c58477710a5b7d5c891fa6cb63e4432339cfb915cc6e3ff5bf8ef19,f8ac9358e07e7f432675bba3fe273e266a74a459e227dcad43bd25f3b8931e11,Ready
qwen2_5_omni_7b,VA,TME,50,20260717,0.7923076923076923,0.44206008583690987,0.22630683177951857,285,722,569,142,130,aecb5ba21f95a3ab8b52aca3114d1adf9f49136c6b531728a9f1c2b099f3e9fc,bc62b1256c58477710a5b7d5c891fa6cb63e4432339cfb915cc6e3ff5bf8ef19,f28dcadac09fe2b6131990a4e3d7bae66c0a00d60fb0f5f8881cd565c9a47c13,Ready
qwen2_5_omni_7b,VA,Single-Point,100,20260717,0.8538461538461538,0.786535303776683,0.6758282039008017,569,722,569,142,130,aecb5ba21f95a3ab8b52aca3114d1adf9f49136c6b531728a9f1c2b099f3e9fc,bc62b1256c58477710a5b7d5c891fa6cb63e4432339cfb915cc6e3ff5bf8ef19,aef4ab224b63c5962f0c2ae3e06188d0d8b4a99b7bb5f74fa1db7523c3011f42,Ready
qwen2_5_omni_7b,VA,Trajectory MLP,100,20260717,0.8153846153846154,0.74,0.5195604143070571,569,722,569,142,130,aecb5ba21f95a3ab8b52aca3114d1adf9f49136c6b531728a9f1c2b099f3e9fc,bc62b1256c58477710a5b7d5c891fa6cb63e4432339cfb915cc6e3ff5bf8ef19,23d83507d46178de5c6234099a1395a43c4d4d9cf096b1433abfdaa001d480c6,Ready
qwen2_5_omni_7b,VA,TME,100,20260717,0.8307692307692308,0.453781512605042,0.3753492094968569,569,722,569,142,130,aecb5ba21f95a3ab8b52aca3114d1adf9f49136c6b531728a9f1c2b099f3e9fc,bc62b1256c58477710a5b7d5c891fa6cb63e4432339cfb915cc6e3ff5bf8ef19,a9c003b29b00e0c500b96c958fab5dd03d7eeac36c4adf254334395c84def03e,Ready
qwen3_vl_8b,VT,Single-Point,10,20260717,0.8272727272727273,0.805237163358494,0.6557375423031229,51,764,509,112,110,6a45e2496f2f120459bc94a743afefeaf4b5cd65434459c4a293ed573e76cb21,f04212bb7ae2ec51a882231b3867cfe3c9e6124602fc365035c3b15b31ee3e2c,6c6149260e99c5c10083af67d6be9614554135abd228e927c998bc08e228034c,Ready
qwen3_vl_8b,VT,Trajectory MLP,10,20260717,0.6545454545454545,0.4777611194402799,0.33663058124271394,51,764,509,112,110,6a45e2496f2f120459bc94a743afefeaf4b5cd65434459c4a293ed573e76cb21,f04212bb7ae2ec51a882231b3867cfe3c9e6124602fc365035c3b15b31ee3e2c,8bc80e7cbb76fddb88842f1838133705a6f471ba92ddfc831dc32c6427ab8541,Ready
qwen3_vl_8b,VT,TME,10,20260717,0.6909090909090909,0.40860215053763443,0.29653284936797375,51,764,509,112,110,6a45e2496f2f120459bc94a743afefeaf4b5cd65434459c4a293ed573e76cb21,f04212bb7ae2ec51a882231b3867cfe3c9e6124602fc365035c3b15b31ee3e2c,94a16ea4176eae52fd49a9f4df3a4bcb7c59a65eeb29608bda98d4fa72d8b84a,Ready
qwen3_vl_8b,VT,Single-Point,25,20260717,0.8272727272727273,0.805237163358494,0.6557375423031229,128,764,509,112,110,6a45e2496f2f120459bc94a743afefeaf4b5cd65434459c4a293ed573e76cb21,f04212bb7ae2ec51a882231b3867cfe3c9e6124602fc365035c3b15b31ee3e2c,82d72cc498f021496ad0ff990e01d9a38586dca9067878d1aacff3ecc299cb7a,Ready
qwen3_vl_8b,VT,Trajectory MLP,25,20260717,0.6363636363636364,0.6148459383753502,0.5061086465448846,128,764,509,112,110,6a45e2496f2f120459bc94a743afefeaf4b5cd65434459c4a293ed573e76cb21,f04212bb7ae2ec51a882231b3867cfe3c9e6124602fc365035c3b15b31ee3e2c,cc3de2e7b19da112e02cca0a91823695739c79992808a16903788270263d3cab,Ready
qwen3_vl_8b,VT,TME,25,20260717,0.7,0.5535604476694134,0.4479115239210622,128,764,509,112,110,6a45e2496f2f120459bc94a743afefeaf4b5cd65434459c4a293ed573e76cb21,f04212bb7ae2ec51a882231b3867cfe3c9e6124602fc365035c3b15b31ee3e2c,61bf233e624b1aad07f566cdef0a92cc80960c3bc084ad6b47bfdb39c6720e71,Ready
qwen3_vl_8b,VT,Single-Point,50,20260717,0.8272727272727273,0.805237163358494,0.6557375423031229,255,764,509,112,110,6a45e2496f2f120459bc94a743afefeaf4b5cd65434459c4a293ed573e76cb21,f04212bb7ae2ec51a882231b3867cfe3c9e6124602fc365035c3b15b31ee3e2c,349806744f6e96126bd2d67da4be47205ad9c55ac209b95aa16ff8ea28971110,Ready
qwen3_vl_8b,VT,Trajectory MLP,50,20260717,0.6909090909090909,0.40860215053763443,0.29888666856533264,255,764,509,112,110,6a45e2496f2f120459bc94a743afefeaf4b5cd65434459c4a293ed573e76cb21,f04212bb7ae2ec51a882231b3867cfe3c9e6124602fc365035c3b15b31ee3e2c,e8719c392ab402ee9501ff2f1992103c131f9d629e163382fc867e970529b9b2,Ready
qwen3_vl_8b,VT,TME,50,20260717,0.6727272727272727,0.6283783783783783,0.47589705169989427,255,764,509,112,110,6a45e2496f2f120459bc94a743afefeaf4b5cd65434459c4a293ed573e76cb21,f04212bb7ae2ec51a882231b3867cfe3c9e6124602fc365035c3b15b31ee3e2c,12bcc65eccadc530bbd32a604c478b6eb06f24a5b4e4552cd3a8671fbf0e14ec,Ready
qwen3_vl_8b,VT,Single-Point,100,20260717,0.8272727272727273,0.805237163358494,0.6557375423031229,510,764,509,112,110,6a45e2496f2f120459bc94a743afefeaf4b5cd65434459c4a293ed573e76cb21,f04212bb7ae2ec51a882231b3867cfe3c9e6124602fc365035c3b15b31ee3e2c,b515111fcd49ac4aed543c611d041f2893d6aa7a1594056acdf6f6cf4858ba4b,Ready
qwen3_vl_8b,VT,Trajectory MLP,100,20260717,0.6909090909090909,0.40860215053763443,0.28805131693674074,510,764,509,112,110,6a45e2496f2f120459bc94a743afefeaf4b5cd65434459c4a293ed573e76cb21,f04212bb7ae2ec51a882231b3867cfe3c9e6124602fc365035c3b15b31ee3e2c,240f4a34e02b05380c67d7168062c25c98160645e62faed62e5ae74675d59ccc,Ready
qwen3_vl_8b,VT,TME,100,20260717,0.7090909090909091,0.6783625730994152,0.495081242839503,510,764,509,112,110,6a45e2496f2f120459bc94a743afefeaf4b5cd65434459c4a293ed573e76cb21,f04212bb7ae2ec51a882231b3867cfe3c9e6124602fc365035c3b15b31ee3e2c,d9c0636f096b6304a95d8a1bdbe247f08258bfb2a1eea9d89046cf3133abeaed,Ready
internvl3_5_8b,VT,Single-Point,10,20260717,0.7909090909090909,0.7728700960588921,0.7779288529888352,51,764,510,112,110,6a45e2496f2f120459bc94a743afefeaf4b5cd65434459c4a293ed573e76cb21,71db38ff182d159ee5ffdf00a8e86831837ca33c7a4eff00829c21a1f9598fa2,96121b05b0e7a8a8f16607a70dc65cd161fdaa34a4dd7fa5c2b230971162388f,Ready
internvl3_5_8b,VT,Trajectory MLP,10,20260717,0.6818181818181818,0.40540540540540543,0.3181818181818182,51,764,510,112,110,6a45e2496f2f120459bc94a743afefeaf4b5cd65434459c4a293ed573e76cb21,71db38ff182d159ee5ffdf00a8e86831837ca33c7a4eff00829c21a1f9598fa2,f1232ce21404e498fef903eb6e2940b9dbdc8a5b0ee822ac928696f7c1744175,Ready
internvl3_5_8b,VT,TME,10,20260717,0.6818181818181818,0.40540540540540543,0.4826032114733597,51,764,510,112,110,6a45e2496f2f120459bc94a743afefeaf4b5cd65434459c4a293ed573e76cb21,71db38ff182d159ee5ffdf00a8e86831837ca33c7a4eff00829c21a1f9598fa2,5cd9b06723e635013cf28a969ec648b3c7d7d078b80c865e33952ec6b4dace4e,Ready
internvl3_5_8b,VT,Single-Point,25,20260717,0.7909090909090909,0.7728700960588921,0.7779288529888352,128,764,510,112,110,6a45e2496f2f120459bc94a743afefeaf4b5cd65434459c4a293ed573e76cb21,71db38ff182d159ee5ffdf00a8e86831837ca33c7a4eff00829c21a1f9598fa2,66752f04d004099a8e7a2075fb8ec396b3bb98e42e2770cc33c752df9cf87ccf,Ready
internvl3_5_8b,VT,Trajectory MLP,25,20260717,0.7454545454545455,0.7348484848484849,0.6528232829483722,128,764,510,112,110,6a45e2496f2f120459bc94a743afefeaf4b5cd65434459c4a293ed573e76cb21,71db38ff182d159ee5ffdf00a8e86831837ca33c7a4eff00829c21a1f9598fa2,ede85e00d2a8e6e29f90f0c414b97d2d9e0ae3dd9ea5b2674cf3cb6631a30ff6,Ready
internvl3_5_8b,VT,TME,25,20260717,0.6727272727272727,0.5957533687219274,0.44720739574396146,128,764,510,112,110,6a45e2496f2f120459bc94a743afefeaf4b5cd65434459c4a293ed573e76cb21,71db38ff182d159ee5ffdf00a8e86831837ca33c7a4eff00829c21a1f9598fa2,44385f30b1ca2d47db3be6f656f310d5139be9eddecfb223cd81302a3b112144,Ready
internvl3_5_8b,VT,Single-Point,50,20260717,0.7909090909090909,0.7728700960588921,0.7779288529888352,255,764,510,112,110,6a45e2496f2f120459bc94a743afefeaf4b5cd65434459c4a293ed573e76cb21,71db38ff182d159ee5ffdf00a8e86831837ca33c7a4eff00829c21a1f9598fa2,c36856b78f262fcba55bf6513a3e80678b96e289980a430c6146a1bde8e2cd39,Ready
internvl3_5_8b,VT,Trajectory MLP,50,20260717,0.6818181818181818,0.40540540540540543,0.3181818181818182,255,764,510,112,110,6a45e2496f2f120459bc94a743afefeaf4b5cd65434459c4a293ed573e76cb21,71db38ff182d159ee5ffdf00a8e86831837ca33c7a4eff00829c21a1f9598fa2,8fd2575c742e227b0edd1a38b0b95a56e9e5e5ba7b4eb1c3912dc325bbe1b696,Ready
internvl3_5_8b,VT,TME,50,20260717,0.7454545454545455,0.7327316903852829,0.6139414544242693,255,764,510,112,110,6a45e2496f2f120459bc94a743afefeaf4b5cd65434459c4a293ed573e76cb21,71db38ff182d159ee5ffdf00a8e86831837ca33c7a4eff00829c21a1f9598fa2,92179567e7658f8702e16f3e6b885c666c4db6e631315ffc20cb4cff08847883,Ready
internvl3_5_8b,VT,Single-Point,100,20260717,0.7909090909090909,0.7728700960588921,0.7779288529888352,510,764,510,112,110,6a45e2496f2f120459bc94a743afefeaf4b5cd65434459c4a293ed573e76cb21,71db38ff182d159ee5ffdf00a8e86831837ca33c7a4eff00829c21a1f9598fa2,069e746641b67a09aa8716191c2ea25f36a8a877177372557d31e0f8a9537436,Ready
internvl3_5_8b,VT,Trajectory MLP,100,20260717,0.6818181818181818,0.40540540540540543,0.3635570899531839,510,764,510,112,110,6a45e2496f2f120459bc94a743afefeaf4b5cd65434459c4a293ed573e76cb21,71db38ff182d159ee5ffdf00a8e86831837ca33c7a4eff00829c21a1f9598fa2,d0270effb7735a499d53642bd470c950c78cd8263daca17b455a2eefa1360480,Ready
internvl3_5_8b,VT,TME,100,20260717,0.7545454545454545,0.7302697302697303,0.5409298300744875,510,764,510,112,110,6a45e2496f2f120459bc94a743afefeaf4b5cd65434459c4a293ed573e76cb21,71db38ff182d159ee5ffdf00a8e86831837ca33c7a4eff00829c21a1f9598fa2,b4b0d0ea2504ee5219e350daa61d38ce87da2b32d4e3500e3fb0c658a5d1f91f,Ready
